,,Deaths per 1 000 live births,Deaths per 1 000 live births,Deaths per 1 000 live births
,,Malaria,Malaria,Malaria
Region,Year,0-27 days,1-59 months,0-4 years
Africa Region,2017,0,6.9,6.9
Africa Region,2016,0,7.5,7.5
Africa Region,2015,0,8.1,8.1
Africa Region,2014,0,8.8,8.8
Africa Region,2013,0,9.5,9.5
Africa Region,2012,0,10.5,10.5
Africa Region,2011,0,11.6,11.6
Africa Region,2010,0,12.9,12.9
Africa Region,2009,0,14.3,14.3
Africa Region,2008,0,15.6,15.6
Africa Region,2007,0,17.3,17.3
Africa Region,2006,0,18.8,18.8
Africa Region,2005,0,20,20
Africa Region,2004,0,21.3,21.3
Africa Region,2003,0,22,22
Africa Region,2002,0,22.7,22.7
Africa Region,2001,0,23.2,23.2
Africa Region,2000,0,23.7,23.7
Region of the Americas,2017,0,0,0
Region of the Americas,2016,0,0,0
Region of the Americas,2015,0,0,0
Region of the Americas,2014,0,0,0
Region of the Americas,2013,0,0,0
Region of the Americas,2012,0,0,0
Region of the Americas,2011,0,0,0
Region of the Americas,2010,0,0,0
Region of the Americas,2009,0,0,0
Region of the Americas,2008,0,0,0
Region of the Americas,2007,0,0,0
Region of the Americas,2006,0,0,0
Region of the Americas,2005,0,0,0
Region of the Americas,2004,0,0,0
Region of the Americas,2003,0,0,0
Region of the Americas,2002,0,0,0
Region of the Americas,2001,0,0,0
Region of the Americas,2000,0,0,0
South-East Asia Region,2017,0,0.1,0.1
South-East Asia Region,2016,0,0.1,0.1
South-East Asia Region,2015,0,0.1,0.1
South-East Asia Region,2014,0,0.1,0.1
South-East Asia Region,2013,0,0.1,0.1
South-East Asia Region,2012,0,0.1,0.1
South-East Asia Region,2011,0,0.1,0.1
South-East Asia Region,2010,0,0.2,0.2
South-East Asia Region,2009,0,0.1,0.1
South-East Asia Region,2008,0,0.1,0.1
South-East Asia Region,2007,0,0.1,0.1
South-East Asia Region,2006,0,0.1,0.1
South-East Asia Region,2005,0,0.2,0.2
South-East Asia Region,2004,0,0.2,0.2
South-East Asia Region,2003,0,0.1,0.1
South-East Asia Region,2002,0,0.1,0.1
South-East Asia Region,2001,0,0.1,0.1
South-East Asia Region,2000,0,0.1,0.1
European Region,2017,0,0,0
European Region,2016,0,0,0
European Region,2015,0,0,0
European Region,2014,0,0,0
European Region,2013,0,0,0
European Region,2012,0,0,0
European Region,2011,0,0,0
European Region,2010,0,0,0
European Region,2009,0,0,0
European Region,2008,0,0,0
European Region,2007,0,0,0
European Region,2006,0,0,0
European Region,2005,0,0,0
European Region,2004,0,0,0
European Region,2003,0,0,0
European Region,2002,0,0,0
European Region,2001,0,0,0
European Region,2000,0,0,0
Eastern Mediterranean Region,2017,0,0.1,0.1
Eastern Mediterranean Region,2016,0,0.1,0.1
Eastern Mediterranean Region,2015,0,0.1,0.1
Eastern Mediterranean Region,2014,0,0.2,0.2
Eastern Mediterranean Region,2013,0,0.1,0.1
Eastern Mediterranean Region,2012,0,0.1,0.1
Eastern Mediterranean Region,2011,0,0.1,0.1
Eastern Mediterranean Region,2010,0,0.2,0.2
Eastern Mediterranean Region,2009,0,0.1,0.1
Eastern Mediterranean Region,2008,0,0.1,0.1
Eastern Mediterranean Region,2007,0,0.2,0.2
Eastern Mediterranean Region,2006,0,0.2,0.2
Eastern Mediterranean Region,2005,0,0.3,0.3
Eastern Mediterranean Region,2004,0,0.3,0.3
Eastern Mediterranean Region,2003,0,0.3,0.3
Eastern Mediterranean Region,2002,0,0.3,0.3
Eastern Mediterranean Region,2001,0,0.3,0.3
Eastern Mediterranean Region,2000,0,0.3,0.3
Western Pacific Region,2017,0,0.1,0.1
Western Pacific Region,2016,0,0.1,0.1
Western Pacific Region,2015,0,0,0
Western Pacific Region,2014,0,0.1,0.1
Western Pacific Region,2013,0,0.1,0.1
Western Pacific Region,2012,0,0.1,0.1
Western Pacific Region,2011,0,0.1,0.1
Western Pacific Region,2010,0,0.1,0.1
Western Pacific Region,2009,0,0.1,0.1
Western Pacific Region,2008,0,0.1,0.1
Western Pacific Region,2007,0,0.1,0.1
Western Pacific Region,2006,0,0.1,0.1
Western Pacific Region,2005,0,0.1,0.1
Western Pacific Region,2004,0,0.1,0.1
Western Pacific Region,2003,0,0.1,0.1
Western Pacific Region,2002,0,0.1,0.1
Western Pacific Region,2001,0,0.1,0.1
Western Pacific Region,2000,0,0.1,0.1
World,2017,0,1.9,1.9
World,2016,0,2,2
World,2015,0,2.1,2.1
World,2014,0,2.3,2.3
World,2013,0,2.4,2.4
World,2012,0,2.6,2.6
World,2011,0,2.9,2.9
World,2010,0,3.2,3.2
World,2009,0,3.5,3.5
World,2008,0,3.7,3.7
World,2007,0,4.1,4.1
World,2006,0,4.4,4.4
World,2005,0,4.6,4.6
World,2004,0,4.8,4.8
World,2003,0,4.9,4.9
World,2002,0,5,5
World,2001,0,5,5
World,2000,0,5,5
